dough_id;form_id;make_id;production_dstart;knead_tstart;knead_tstop;bulk_tstart;bulk_dstop;bulk_tstop;final_tstart;final_dstop;final_tstop;baker
DO47;33;81;2022-04-14;09:15;09:25;09:28;2022-04-14;15:28;15:48;2022-04-14;16:07;SAT
DO48;34;82;2022-04-14;09:41;09:55;09:58;2022-04-14;10:58;11:22;2022-04-14;16:37;SAT
DO49;35;83;2022-04-14;10:03;10:10;10:13;2022-04-14;13:15;13:37;2022-04-14;16:52;SAT
DO113;96;54;2022-10-12;08:30;08:38;08:41;2022-10-12;14:41;15:09;2022-10-13;12:09;SAT
DO114;97;55;2022-10-12;09:30;09:41;09:44;2022-10-12;12:44;13:13;2022-10-13;13:13;SAT
DO115;98;56;2022-10-12;10:00;10:07;10:10;2022-10-13;10:10;10:35;2022-10-13;;SAT
DO116;99;57;2022-10-13;09:20;09:32;09:35;2022-10-13;09:52;10:17;2022-10-13;11:17;SAT
DO117;100;58;2022-10-13;10:15;10:30;10:33;2022-10-13;11:33;12:02;2022-10-13;12:17;SAT
DO118;101;59;2022-10-13;12:15;12:29;12:32;2022-10-13;12:47;13:14;2022-10-13;14:14;SAT
DO87;73;28;2022-06-15;09:01;09:15;09:18;2022-06-15;;09:57;2022-06-16;10:58;SAT
DO88;74;29;2022-06-15;10:45;11:01;11:04;2022-06-16;11:10;11:31;2022-06-16;12:31;SAT
DO89;73;30;2022-06-15;13:15;13:22;13:25;2022-06-16;13:25;13:47;2022-06-16;14:47;SAT
DO90;75;31;2022-06-16;09:00;09:05;09:08;2022-06-16;12:08;12:28;2022-06-16;15:43;SAT
DO91;76;32;2022-06-16;09:20;;;2022-06-16;;;2022-06-16;;SAT
DO92;77;33;2022-06-16;10:17;10:25;10:28;2022-06-16;10:43;11:07;2022-06-16;17:07;SAT
DO81;67;22;2022-06-01;09:05;09:13;09:16;2022-06-01;09:31;09:57;2022-06-02;15:42;SAT
DO82;68;23;2022-06-01;09:35;09:48;09:51;2022-06-02;09:51;10:22;2022-06-02;16:22;SAT
DO83;69;24;2022-06-01;10:05;10:20;10:23;2022-06-01;10:38;11:03;2022-06-02;16:48;SAT
DO84;70;25;2022-06-02;10:00;10:10;10:13;2022-06-02;10:28;10:55;2022-06-03;10:40;SAT
DO85;71;26;2022-06-02;10:45;10:52;10:55;2022-06-02;11:55;12:15;2022-06-03;11:15;SAT
DO86;72;27;2022-06-02;14:15;14:28;14:31;2022-06-03;08:44;09:10;2022-06-03;15:10;SAT
DO93;78;34;2022-06-22;09:00;09:07;09:10;2022-06-22;09:25;09:52;2022-06-23;12:37;SAT
DO94;79;35;2022-06-22;09:30;09:39;09:42;2022-06-22;09:57;10:26;2022-06-23;13:11;SAT
DO95;80;36;2022-06-22;10:30;10:47;10:50;2022-06-22;13:50;14:18;2022-06-23;14:18;SAT
DO96;81;37;2022-06-23;10:00;10:07;10:10;2022-06-23;16:10;16:34;2022-06-24;07:34;SAT
DO97;82;38;2022-06-23;14:30;14:37;14:40;2022-06-24;08:40;09:05;2022-06-24;12:05;SAT
DO98;83;39;2022-06-23;15:00;15:07;15:10;2022-06-24;09:10;09:39;2022-06-24;12:39;SAT
DO125;108;66;2022-11-17;09:04;09:19;09:22;2022-11-17;12:22;12:51;2022-11-17;13:51;SAT
DO126;109;67;2022-11-17;09:45;09:57;10:00;2022-11-17;13:00;13:29;2022-11-17;14:29;SAT
DO127;110;68;2022-11-17;10:40;10:47;10:50;2022-11-17;13:50;14:19;2022-11-17;15:19;SAT
DO128;111;69;2022-11-18;08:00;08:10;08:13;2022-11-18;11:22;11:47;2022-11-18;14:47;SAT
DO129;112;70;2022-11-18;08:30;08:37;08:40;2022-11-18;08:55;09:24;2022-11-18;15:09;SAT
DO130;113;71;2022-11-18;09:08;09:23;09:26;2022-11-18;12:26;12:55;2022-11-18;15:55;SAT
DO65;51;10;2022-05-12;11:45;11:52;11:55;2022-05-12;12:55;13:21;2022-05-13;09:21;SAT
DO66;52;11;2022-05-12;13:30;13:45;13:48;2022-05-12;14:03;14:32;2022-05-13;11:17;SAT
DO67;53;12;2022-05-12;14:15;14:30;14:33;2022-05-13;09:41;10:03;2022-05-13;13:03;SAT
DO68;54;13;2022-05-13;08:22;08:37;08:40;2022-05-13;08:55;09:27;2022-05-13;10:29;SAT
DO69;55;14;2022-05-13;09:05;09:16;09:19;2022-05-13;09:34;09:56;2022-05-13;10:56;SAT
DO70;56;15;2022-05-13;11:41;11:52;11:55;2022-05-13;12:55;13:19;2022-05-13;13:34;SAT
DO56;42;90;2022-05-04;14:00;14:14;14:17;2022-05-04;15:17;15:38;2022-05-05;09:55;SAT
DO57;43;91;2022-05-04;14:30;14:40;14:43;2022-05-04;15:45;16:07;2022-05-05;10:25;SAT
DO58;44;92;2022-05-04;14:59;15:12;15:15;2022-05-04;15:30;15:57;2022-05-05;10:55;SAT
DO59;45;93;2022-05-05;11:30;11:41;11:44;2022-05-05;12:44;13:06;2022-05-06;13:28;SAT
DO60;46;94;2022-05-05;14:17;14:34;14:37;2022-05-06;08:37;09:02;2022-05-06;15:17;SAT
DO61;47;95;2022-05-05;14:45;15:00;15:03;2022-05-06;09:03;09:32;2022-05-06;;SAT
DO119;102;60;2022-10-19;08:50;09:06;09:09;2022-10-19;09:24;09:53;2022-10-19;11:38;SAT
DO120;103;61;2022-10-19;09:49;09:57;10:00;2022-10-19;10:15;10:41;2022-10-19;12:26;SAT
DO121;104;62;2022-10-19;10:15;10:31;10:34;2022-10-19;11:34;11:56;2022-10-19;;SAT
DO122;105;63;2022-10-20;09:15;09:32;09:35;2022-10-20;09:50;10:14;2022-10-20;10:29;SAT
DO123;106;64;2022-10-20;10:30;10:37;10:40;2022-10-20;10:55;11:20;2022-10-20;11:35;SAT
DO124;107;65;2022-10-20;11:45;11:52;11:55;2022-10-20;12:10;12:39;2022-10-20;12:54;SAT
DO107;90;48;2022-10-05;08:00;08:12;08:15;2022-10-05;14:15;14:39;2022-10-05;14:54;SAT
DO108;91;49;2022-10-05;08:35;08:46;08:49;2022-10-05;09:49;10:13;2022-10-05;15:28;SAT
DO109;92;50;2022-10-05;08:52;09:13;09:16;2022-10-05;;15:41;2022-10-05;15:56;SAT
DO110;93;51;2022-10-06;09:15;09:27;09:30;2022-10-06;10:30;10:59;2022-10-06;11:59;SAT
DO111;94;52;2022-10-06;10:14;10:21;10:24;2022-10-06;;11:54;2022-10-06;12:56;SAT
DO112;95;53;2022-10-06;11:03;11:12;11:15;2022-10-06;12:15;12:39;2022-10-06;13:38;SAT
DO71;57;16;2022-05-18;09:49;10:01;10:04;2022-05-18;10:19;10:46;2022-05-18;11:46;SAT
DO72;58;17;2022-05-18;10:51;11:00;11:03;2022-05-18;11:18;11:40;2022-05-18;12:40;SAT
DO73;59;18;2022-05-18;12:15;12:26;12:29;2022-05-18;13:30;13:55;2022-05-18;14:10;SAT
DO74;60;19;2022-05-19;06:28;06:43;06:46;2022-05-19;07:01;07:28;2022-05-20;13:13;SAT
DO75;61;20;2022-05-19;08:56;09:05;09:08;2022-05-19;09:23;09:48;2022-05-20;15:33;SAT
DO76;62;21;2022-05-19;12:11;12:18;12:21;2022-05-20;06:21;06:45;2022-05-20;18:44;SAT
DO99;84;40;2022-09-28;09:30;09:41;09:44;2022-09-28;09:59;10:22;2022-09-28;10:37;SAT
DO100;85;41;2022-09-28;10:45;11:01;11:04;2022-09-28;11:19;11:48;2022-09-28;12:03;SAT
DO101;86;42;2022-09-28;12:00;12:07;12:10;2022-09-28;12:25;12:49;2022-09-28;13:04;SAT
DO104;87;45;2022-09-29;09:15;09:30;09:33;2022-09-29;10:33;10:58;2022-09-29;11:13;SAT
DO105;88;46;2022-09-29;11:00;11:12;11:15;2022-09-29;11:30;11:51;2022-09-29;12:51;SAT
DO106;89;47;2022-09-29;11:30;11:45;11:48;2022-09-29;12:03;12:24;2022-09-29;13:24;SAT
DO133;114;74;2022-11-23;07:30;07:45;07:48;2022-11-23;08:03;08:32;2022-11-23;14:32;SAT
DO134;115;75;2022-11-23;08:30;08:41;08:44;2022-11-23;11:44;12:13;2022-11-23;15:28;SAT
DO135;116;76;2022-11-23;08:45;08:52;08:55;2022-11-23;14:55;15:24;2022-11-23;15:39;SAT
DO137;117;78;2022-11-24;09:00;09:09;09:12;2022-11-24;09:27;10:05;2022-11-24;11:05;SAT
DO138;118;79;2022-11-24;10:00;10:09;10:12;2022-11-24;10:27;10:49;2022-11-24;11:49;SAT
DO139;119;80;2022-11-24;11:15;11:29;11:32;2022-11-24;12:32;13:01;2022-11-24;;SAT
DO50;36;84;2022-04-27;10:30;10:37;10:40;2022-04-27;10:55;11:19;2022-04-28;11:19;SAT
DO51;37;85;2022-04-27;11:45;11:53;11:56;2022-04-27;14:56;15:17;2022-04-28;12:32;SAT
DO52;38;86;2022-04-27;13:15;13:31;13:34;2022-04-28;13:34;13:57;2022-04-28;14:12;SAT
DO53;39;87;2022-04-28;09:07;09:16;09:19;2022-04-28;15:19;15:41;2022-04-28;15:56;SAT
DO54;40;88;2022-04-28;09:30;09:39;09:42;2022-04-28;15:43;16:05;2022-04-28;16:20;SAT
DO55;41;89;2022-04-28;09:46;10:02;10:05;2022-04-28;11:05;11:27;2022-04-28;16:42;SAT
