make_id;processing_variable;variable_phase;variable_value;variable_order
81;PROOF_temperature;2;19.899999999999999;1
81;PROOF_rel_humidity;2;61.3;2
81;PROOF_temperature;4;19.899999999999999;1
81;PROOF_rel_humidity;4;62.4;2
82;PROOF_temperature;2;20.9;1
82;PROOF_rel_humidity;2;61.9;2
82;PROOF_temperature;4;20.3;1
82;PROOF_rel_humidity;4;64.5;2
83;PROOF_temperature;2;21.2;1
83;PROOF_rel_humidity;2;61.6;2
83;PROOF_temperature;4;20.2;1
83;PROOF_rel_humidity;4;55.6;2
54;PROOF_temperature;2;4;1
54;PROOF_temperature;4;19.8;1
54;PROOF_rel_humidity;4;51.8;2
55;PROOF_temperature;2;5;1
55;PROOF_temperature;4;19.899999999999999;1
55;PROOF_rel_humidity;4;53.5;2
56;PROOF_temperature;2;5;1
56;PROOF_temperature;4;19.8;1
56;PROOF_rel_humidity;4;64.3;2
57;PROOF_temperature;2;5;1
57;PROOF_temperature;4;20;1
57;PROOF_rel_humidity;4;72.3;2
58;PROOF_temperature;2;5;1
58;PROOF_temperature;4;19.8;1
58;PROOF_rel_humidity;4;75.2;2
59;PROOF_temperature;2;5;1
59;PROOF_temperature;4;19.899999999999999;1
59;PROOF_rel_humidity;4;77;2
28;PROOF_temperature;2;5;1
28;PROOF_temperature;4;20;1
28;PROOF_rel_humidity;4;59.9;2
29;PROOF_temperature;2;20;1
29;PROOF_rel_humidity;2;57.8;2
29;PROOF_temperature;4;20.8;1
29;PROOF_rel_humidity;4;66.099999999999994;2
30;PROOF_temperature;2;19.8;1
30;PROOF_rel_humidity;2;55.9;2
30;PROOF_temperature;4;20;1
30;PROOF_rel_humidity;4;63.8;2
31;PROOF_temperature;2;20.2;1
31;PROOF_rel_humidity;2;70.099999999999994;2
31;PROOF_temperature;4;20.5;1
31;PROOF_rel_humidity;4;64.7;2
32;PROOF_temperature;2;<logger>;1
32;PROOF_rel_humidity;2;<logger>;2
32;PROOF_temperature;4;<logger>;1
32;PROOF_rel_humidity;4;<logger>;2
33;PROOF_temperature;2;20.6;1
33;PROOF_rel_humidity;2;69.099999999999994;2
33;PROOF_temperature;4;20.8;1
33;PROOF_rel_humidity;4;68.8;2
22;PROOF_temperature;2;19.8;1
22;PROOF_rel_humidity;2;57.4;2
22;PROOF_temperature;4;20.100000000000001;1
22;PROOF_rel_humidity;4;56.8;2
22;PROOF_cabinet;6;3;3
23;PROOF_temperature;2;19.899999999999999;1
23;PROOF_rel_humidity;2;59.1;2
23;PROOF_cabinet;2;3;3
23;PROOF_temperature;4;19.5;1
23;PROOF_rel_humidity;4;60.1;2
24;PROOF_temperature;2;5;1
24;PROOF_temperature;4;19.8;1
24;PROOF_rel_humidity;4;57.96;2
25;PROOF_temperature;2;19.600000000000001;1
25;PROOF_rel_humidity;2;57;2
25;PROOF_temperature;4;20.2;1
25;PROOF_rel_humidity;4;56.8;2
26;PROOF_temperature;2;5;1
26;PROOF_temperature;4;20.7;1
26;PROOF_rel_humidity;4;56.3;2
26;PROOF_cabinet;6;2;3
27;PROOF_temperature;2;5;1
27;PROOF_temperature;4;19.8;1
27;PROOF_rel_humidity;4;52.6;2
34;PROOF_temperature;2;5;1
34;PROOF_temperature;4;20;1
34;PROOF_rel_humidity;4;68.2;2
34;PROOF_cabinet;6;3;3
35;PROOF_temperature;2;4;1
35;PROOF_temperature;4;20;1
35;PROOF_rel_humidity;4;67;2
35;PROOF_cabinet;6;2;3
36;PROOF_temperature;2;20.3;1
36;PROOF_rel_humidity;2;67;2
36;PROOF_temperature;4;20;1
36;PROOF_rel_humidity;4;65.7;2
36;PROOF_cabinet;6;1;3
37;PROOF_temperature;2;20.3;1
37;PROOF_rel_humidity;2;77.599999999999994;2
37;PROOF_temperature;4;20.100000000000001;1
37;PROOF_rel_humidity;4;75.099999999999994;2
37;PROOF_cabinet;6;1;3
38;PROOF_temperature;2;5;1
38;PROOF_temperature;4;20;1
38;PROOF_rel_humidity;4;71.7;2
38;PROOF_cabinet;6;2;3
39;PROOF_temperature;2;5;1
39;PROOF_temperature;4;20;1
39;PROOF_rel_humidity;4;71.3;2
39;PROOF_cabinet;6;3;3
66;PROOF_temperature;2;<fridge temp>;1
66;PROOF_temperature;4;20.2;1
66;PROOF_rel_humidity;4;59.4;2
66;PROOF_cabinet;6;3;3
67;PROOF_temperature;2;<fridge temp>;1
67;PROOF_temperature;4;19.899999999999999;1
67;PROOF_rel_humidity;4;58.7;2
67;PROOF_cabinet;6;1;3
68;PROOF_temperature;2;<fridge temp>;1
68;PROOF_temperature;4;20;1
68;PROOF_rel_humidity;4;29.1;2
68;PROOF_cabinet;6;3;3
69;PROOF_temperature;2;18.899999999999999;1
69;PROOF_rel_humidity;2;52.6;2
69;PROOF_temperature;4;19.8;1
69;PROOF_rel_humidity;4;57.3;2
69;PROOF_cabinet;6;3;3
70;PROOF_temperature;2;18.7;1
70;PROOF_rel_humidity;2;53.5;2
70;PROOF_temperature;4;18.899999999999999;1
70;PROOF_rel_humidity;4;54.1;2
70;PROOF_cabinet;6;2;3
71;PROOF_temperature;2;4;1
71;PROOF_temperature;4;20.8;1
71;PROOF_rel_humidity;4;55.6;2
71;PROOF_cabinet;6;1;3
10;PROOF_temperature;2;<fridge>;1
10;PROOF_temperature;4;20.2;1
10;PROOF_rel_humidity;4;55.9;2
10;PROOF_cabinet;6;3;3
11;PROOF_temperature;2;20.3;1
11;PROOF_rel_humidity;2;56.8;2
11;PROOF_temperature;4;20.3;1
11;PROOF_rel_humidity;4;56.3;2
11;PROOF_cabinet;6;2;3
12;PROOF_temperature;2;20.3;1
12;PROOF_rel_humidity;2;56.8;2
12;PROOF_temperature;4;20.3;1
12;PROOF_rel_humidity;4;56.9;2
12;PROOF_cabinet;6;3;3
13;PROOF_temperature;2;19.5;1
13;PROOF_rel_humidity;2;56.6;2
13;PROOF_temperature;4;20.100000000000001;1
13;PROOF_rel_humidity;4;58.3;2
13;PROOF_cabinet;6;3;3
14;PROOF_temperature;2;20.2;1
14;PROOF_rel_humidity;2;58.3;2
14;PROOF_temperature;4;20.3;1
14;PROOF_rel_humidity;4;60.2;2
14;PROOF_cabinet;6;3;3
15;PROOF_temperature;2;20.2;1
15;PROOF_rel_humidity;2;57.2;2
15;PROOF_temperature;4;19.899999999999999;1
15;PROOF_rel_humidity;4;54.7;2
15;PROOF_cabinet;6;3;3
90;PROOF_temperature;2;5;1
90;PROOF_temperature;4;19.7;1
90;PROOF_rel_humidity;4;51.6;2
90;PROOF_cabinet;6;3;3
91;PROOF_temperature;2;5;1
91;PROOF_temperature;4;19.8;1
91;PROOF_rel_humidity;4;52.7;2
91;PROOF_cabinet;6;2;3
92;PROOF_temperature;2;19.8;1
92;PROOF_rel_humidity;2;51.7;2
92;PROOF_temperature;4;19.8;1
92;PROOF_rel_humidity;4;52.2;2
92;PROOF_temp;6;20;1
92;PROOF_rel_humidity;6;91;2
92;PROOF_cabinet;6;2;3
93;PROOF_temperature;2;5;1
93;PROOF_temperature;4;19.899999999999999;1
93;PROOF_rel_humidity;4;66.3;2
93;PROOF_cabinet;6;3;3
94;PROOF_temperature;2;19.8;1
94;PROOF_rel_humidity;2;65.599999999999994;2
94;PROOF_cabinet;2;3;3
94;PROOF_temperature;4;20.399999999999999;1
94;PROOF_rel_humidity;4;54;2
94;PROOF_cabinet;6;3;3
95;PROOF_temperature;2;19.7;1
95;PROOF_rel_humidity;2;64.5;2
95;PROOF_cabinet;2;3;3
95;PROOF_temperature;4;<logger>;1
95;PROOF_rel_humidity;4;<logger>;2
95;PROOF_cabinet;6;3;3
60;PROOF_temperature;2;5;1
60;PROOF_temperature;4;19.899999999999999;1
60;PROOF_rel_humidity;4;58.2;2
60;PROOF_cabinet;6;3;3
61;PROOF_temperature;2;19.8;1
61;PROOF_rel_humidity;2;60;2
61;PROOF_temperature;4;20;1
61;PROOF_rel_humidity;4;60.2;2
61;PROOF_cabinet;6;2;3
62;PROOF_temperature;2;4;1
62;PROOF_temperature;4;50;1
62;PROOF_rel_humidity;4;61;2
62;PROOF_cabinet;6;3;3
63;PROOF_temperature;2;5;1
63;PROOF_temperature;4;19.8;1
63;PROOF_rel_humidity;4;20.7;2
63;PROOF_cabinet;6;2;3
64;PROOF_temperature;2;5;1
64;PROOF_temperature;4;19.8;1
64;PROOF_rel_humidity;4;75.599999999999994;2
64;PROOF_cabinet;6;3;3
65;PROOF_temperature;2;4;1
65;PROOF_temperature;4;20.100000000000001;1
65;PROOF_rel_humidity;4;78.099999999999994;2
65;PROOF_cabinet;6;3;3
48;PROOF_temperature;2;5;1
48;PROOF_temperature;4;20;1
48;PROOF_rel_humidity;4;69.2;2
49;PROOF_temperature;2;5;1
49;PROOF_temperature;4;20;1
49;PROOF_rel_humidity;4;66.5;2
49;PROOF_cabinet;6;3;3
50;PROOF_temperature;2;5;1
50;PROOF_temperature;4;20;1
50;PROOF_rel_humidity;4;68.8;2
50;PROOF_cabinet;6;2;3
51;PROOF_temperature;2;5;1
51;PROOF_temperature;4;20;1
51;PROOF_rel_humidity;4;56.1;2
51;PROOF_cabinet;6;3;3
52;PROOF_temperature;2;4;1
52;PROOF_temperature;4;20.2;1
52;PROOF_rel_humidity;4;57.1;2
52;PROOF_cabinet;6;3;3
53;PROOF_temperature;2;20;1
53;PROOF_rel_humidity;2;57.2;2
53;PROOF_temperature;4;20.2;1
53;PROOF_rel_humidity;4;54.3;2
53;PROOF_cabinet;6;2;3
16;PROOF_temperature;2;4;1
16;PROOF_temperature;4;19.7;1
16;PROOF_rel_humidity;4;69.3;2
16;PROOF_cabinet;6;3;3
17;PROOF_temperature;2;20.100000000000001;1
17;PROOF_rel_humidity;2;70.8;2
17;PROOF_temperature;4;20.2;1
17;PROOF_rel_humidity;4;70.2;2
18;PROOF_temperature;2;5;1
18;PROOF_temperature;4;20;1
18;PROOF_rel_humidity;4;70.599999999999994;2
18;PROOF_cabinet;6;2;3
19;PROOF_temperature;2;20.6;1
19;PROOF_rel_humidity;2;68.3;2
19;PROOF_temperature;4;20;1
19;PROOF_rel_humidity;4;67.900000000000006;2
19;PROOF_cabinet;6;3;3
20;PROOF_temperature;2;19.600000000000001;1
20;PROOF_rel_humidity;2;71.2;2
20;PROOF_temperature;4;19.600000000000001;1
20;PROOF_rel_humidity;4;72.400000000000006;2
20;PROOF_cabinet;6;2;3
21;PROOF_temperature;2;5;1
21;PROOF_temperature;4;19;1
21;PROOF_rel_humidity;4;67;2
40;PROOF_temperature;2;19.899999999999999;1
40;PROOF_rel_humidity;2;55.8;2
40;PROOF_temperature;4;19.899999999999999;1
40;PROOF_rel_humidity;4;57.4;2
41;PROOF_temperature;2;19.899999999999999;1
41;PROOF_rel_humidity;2;55.2;2
41;PROOF_temperature;4;20.2;1
41;PROOF_rel_humidity;4;58.3;2
41;PROOF_cabinet;6;2;3
42;PROOF_temperature;2;19.899999999999999;1
42;PROOF_rel_humidity;2;57.6;2
42;PROOF_temperature;4;19.899999999999999;1
42;PROOF_rel_humidity;4;57.7;2
42;PROOF_cabinet;6;3;3
45;PROOF_temperature;2;5;1
45;PROOF_temperature;4;20.2;1
45;PROOF_rel_humidity;4;58.7;2
45;PROOF_cabinet;6;3;3
46;PROOF_temperature;2;20;1
46;PROOF_rel_humidity;2;57.2;2
46;PROOF_temperature;4;20.100000000000001;1
46;PROOF_rel_humidity;4;60.5;2
46;PROOF_cabinet;6;3;3
47;PROOF_temperature;2;4;1
47;PROOF_temperature;4;20.2;1
47;PROOF_rel_humidity;4;59.7;2
47;PROOF_cabinet;6;3;3
74;PROOF_temperature;2;18.8;1
74;PROOF_rel_humidity;2;46.7;2
74;PROOF_temperature;4;18.8;1
74;PROOF_rel_humidity;4;46.8;2
75;PROOF_temperature;2;18.899999999999999;1
75;PROOF_rel_humidity;2;47.1;2
75;PROOF_temperature;4;19.7;1
75;PROOF_rel_humidity;4;52.7;2
76;PROOF_temperature;2;19.2;1
76;PROOF_rel_humidity;2;47.9;2
76;PROOF_temperature;4;19.8;1
76;PROOF_rel_humidity;4;51.9;2
78;PROOF_temperature;2;19.600000000000001;1
78;PROOF_rel_humidity;2;48.9;2
78;PROOF_temperature;4;19.8;1
78;PROOF_rel_humidity;4;48.9;2
78;PROOF_cabinet;6;3;3
79;PROOF_temperature;2;4;1
79;PROOF_temperature;4;19.7;1
79;PROOF_rel_humidity;4;52.8;2
80;PROOF_temperature;2;19.5;1
80;PROOF_rel_humidity;2;57.9;2
80;PROOF_temperature;4;19.899999999999999;1
80;PROOF_rel_humidity;4;57.9;2
84;PROOF_temperature;2;5;1
84;PROOF_temperature;4;19.899999999999999;1
84;PROOF_rel_humidity;4;51.7;2
85;PROOF_temperature;2;20;1
85;PROOF_rel_humidity;2;52.6;2
85;PROOF_temperature;4;19.899999999999999;1
85;PROOF_rel_humidity;4;47.5;2
86;PROOF_temperature;2;5;1
86;PROOF_temperature;4;20.100000000000001;1
86;PROOF_rel_humidity;4;49.8;2
87;PROOF_temperature;2;19.7;1
87;PROOF_rel_humidity;2;51.5;2
87;PROOF_temperature;4;20.2;1
87;PROOF_rel_humidity;4;50.3;2
88;PROOF_temperature;2;19.8;1
88;PROOF_rel_humidity;2;50;2
88;PROOF_temperature;4;20.2;1
88;PROOF_rel_humidity;4;50.5;2
89;PROOF_temperature;2;19.899999999999999;1
89;PROOF_rel_humidity;2;53.8;2
89;PROOF_temperature;4;20.2;1
89;PROOF_rel_humidity;4;55.1;2
81;PROOF_temperature;2;19.899999999999999;1
81;PROOF_rel_humidity;2;61.3;2
81;PROOF_temperature;4;19.899999999999999;1
81;PROOF_rel_humidity;4;62.4;2
81;PROOF_temp;6;5;1
81;PROOF_rel_humidity;6;<uncontrolled>;2
82;PROOF_temperature;2;20.9;1
82;PROOF_rel_humidity;2;61.9;2
82;PROOF_temperature;4;20.3;1
82;PROOF_rel_humidity;4;64.5;2
82;PROOF_temp;6;5;1
82;PROOF_rel_humidity;6;<uncontrolled>;2
83;PROOF_temperature;2;21.2;1
83;PROOF_rel_humidity;2;61.6;2
83;PROOF_temperature;4;20.2;1
83;PROOF_rel_humidity;4;55.6;2
83;PROOF_temp;6;5;1
83;PROOF_rel_humidity;6;<uncontrolled>;2
54;PROOF_temperature;2;4;1
54;PROOF_rel_humidity;2;<uncontrolled>;2
54;PROOF_temperature;4;19.8;1
54;PROOF_rel_humidity;4;51.8;2
54;PROOF_temp;6;5;1
54;PROOF_rel_humidity;6;<uncontrolled>;2
55;PROOF_temperature;2;5;1
55;PROOF_rel_humidity;2;<uncontrolled>;2
55;PROOF_temperature;4;19.899999999999999;1
55;PROOF_rel_humidity;4;53.5;2
55;PROOF_temp;6;5;1
55;PROOF_rel_humidity;6;<uncontrolled>;2
56;PROOF_temperature;2;5;1
56;PROOF_rel_humidity;2;<uncontrolled>;2
56;PROOF_temperature;4;19.8;1
56;PROOF_rel_humidity;4;64.3;2
56;PROOF_temp;6;5;1
56;PROOF_rel_humidity;6;<uncontrolled>;2
57;PROOF_temperature;2;5;1
57;PROOF_rel_humidity;2;<uncontrolled>;2
57;PROOF_temperature;4;20;1
57;PROOF_rel_humidity;4;72.3;2
57;PROOF_temp;6;5;1
57;PROOF_rel_humidity;6;<uncontrolled>;2
58;PROOF_temperature;2;5;1
58;PROOF_rel_humidity;2;<uncontrolled>;2
58;PROOF_temperature;4;19.8;1
58;PROOF_rel_humidity;4;75.2;2
58;PROOF_temp;6;5;1
58;PROOF_rel_humidity;6;<uncontrolled>;2
59;PROOF_temperature;2;5;1
59;PROOF_rel_humidity;2;<uncontrolled>;2
59;PROOF_temperature;4;19.899999999999999;1
59;PROOF_rel_humidity;4;77;2
59;PROOF_temp;6;5;1
59;PROOF_rel_humidity;6;<uncontrolled>;2
28;PROOF_temperature;2;5;1
28;PROOF_temperature;4;20;1
28;PROOF_rel_humidity;4;59.9;2
28;PROOF_temp;6;5;1
28;PROOF_rel_humidity;6;<uncontrolled>;2
28;PROOF_remarks;6;iets later in oven door oven niet tijdig op temperatuur;4
29;PROOF_temperature;2;20;1
29;PROOF_rel_humidity;2;57.8;2
29;PROOF_temperature;4;20.8;1
29;PROOF_rel_humidity;4;66.099999999999994;2
29;PROOF_temp;6;5;1
29;PROOF_rel_humidity;6;<uncontrolled>;2
30;PROOF_temperature;2;19.8;1
30;PROOF_rel_humidity;2;55.9;2
30;PROOF_temperature;4;20;1
30;PROOF_rel_humidity;4;63.8;2
30;PROOF_temp;6;5;1
30;PROOF_rel_humidity;6;<uncontrolled>;2
30;PROOF_remarks;6;brood is niet gerezen;4
31;PROOF_temperature;2;20.2;1
31;PROOF_rel_humidity;2;70.099999999999994;2
31;PROOF_temperature;4;20.5;1
31;PROOF_rel_humidity;4;64.7;2
31;PROOF_temp;6;5;1
31;PROOF_rel_humidity;6;<uncontrolled>;2
32;PROOF_temperature;2;<logger>;1
32;PROOF_rel_humidity;2;<logger>;2
32;PROOF_temperature;4;<logger>;1
32;PROOF_rel_humidity;4;<logger>;2
32;PROOF_temp;6;5;1
32;PROOF_rel_humidity;6;<uncontrolled>;2
33;PROOF_temperature;2;20.6;1
33;PROOF_rel_humidity;2;69.099999999999994;2
33;PROOF_temperature;4;20.8;1
33;PROOF_rel_humidity;4;68.8;2
33;PROOF_temp;6;5;1
33;PROOF_rel_humidity;6;<uncontrolled>;2
22;PROOF_temperature;2;19.8;1
